Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
airConditioner,blocks,Block,KgNone,Air Conditioner,Climatiseur,Klimaanlage,,Aire acondicionado,Klimatyzator
airConditionVentFan,blocks,Block,New,Vent Fan,,,,,
airConditionVentFanDouble,blocks,Block,New,"Vent Fan, Double",,,,,
alphabetLetterSignGroupDesc,blocks,Block,EnChanged,Create your own billboards with these single letter signs and numbers.,CrÃ©ez vos propres panneaux grÃ¢ce Ã  ces lettres.,Erstelle mit diesen Buchstaben und Zahlen deine eigenen PlakatwÃ¤nde.,,Crea tus propios carteles con estas letras.,StwÃ³rz wÅ‚asne billboardy z tymi pojedynczymi znakami.
arrowHelper,blocks,Block,New,Arrow Helper,,,,,
arrowSlit,blocks,Block,New,Arrow Slit,,,,,
awningBlock,blocks,Block,KeyChanged EnChanged,Awning Block,Bloc en toile marron,Stoffplane â€“ Block,,Bloque canela de toldo,Blok - zadaszenie
awningCNRFull,blocks,Block,KeyChanged EnChanged,Awning Corner Full,Angle complet en toile marron,Stoffplane â€“ Komplette Ecke,,Esquina canela de toldo,
awningCNRInside,blocks,Block,KeyChanged EnChanged,Awning Corner Inside,Angle intÃ©rieur en toile marron,Stoffplane â€“ Innenecke,,Esquina interior canela de toldo,
awningCNRRound,blocks,Block,KeyChanged EnChanged,Awning Corner Round,Angle arrondi en toile marron,Stoffplane â€“ Abgerundete Ecke,,Esquina redonda canela de toldo,
awningCNRRoundTop,blocks,Block,New,Awning Corner Round Top,,,,,
awningCTRSheet,blocks,Block,New,Awning Sheet Centered,,,,,
awningGable,blocks,Block,KeyChanged EnChanged,Awning Gable,Pignon en toile marron,Stoffplane â€“ Giebel,,FrontÃ³n canela de toldo,
awningGroupDesc,blocks,Block,KgNone,An awning made from cloth.\nThis will greatly reduce fall damage.,Une toile en tissu.,Eine Stoffplane.,,Un toldo hecho de tela.,
awningPyramid,blocks,Block,KeyChanged EnChanged,Awning Pyramid,Pyramide en toile marron,Stoffplane â€“ Pyramide,,PirÃ¡mide canela de toldo,
awningRamp,blocks,Block,KeyChanged EnChanged,Awning Ramp,Rampe en toile marron,Stoffplane â€“ Rampe,,Rampa canela de toldo,
awningRampSheet,blocks,Block,New,Awning Ramp Sheet,,,,,
awningRampSheetEdgeLeft,blocks,Block,New,Awning Ramp Edge Left,,,,,
awningRampSheetEdgeRight,blocks,Block,New,Awning Ramp Edge Right,,,,,
awningSheet,blocks,Block,New,Awning Sheet,,,,,
barStool,blocks,Block,New,Bar Stool,,Barhocker,,,StoÅ‚ek barowy
bed01,blocks,Block,KgNone,An Old Bed,Un vieux lit,Altes Bett,,Una cama vieja,Stare Å‚Ã³Å¼ko
bed01Frame,blocks,Block,KgNone,Iron Bed Frame,Cadre de lit en fer,Eisenbettgestell,,Bastidor de cama de hierro,Å»elazna rama Å‚Ã³Å¼ka
bed02,blocks,Block,KgNone,King Size Bed,Grand lit,Doppelbett,,Cama king size,Ogromne Å‚Ã³Å¼ko
bedGroupDesc,blocks,Block,EnChanged,Placing it on the ground will let you spawn there when you die. It shows on your map and prevents zombie respawn. Only the last placed one will be active.,"En le plaÃ§ant Ã  terre, vous pourrez rÃ©apparaÃ®tre Ã  cet endroit lorsque vous mourrez et il sera indiquÃ© sur votre carte.","Wenn du dies platzierst, kannst du dort wiedererscheinen, falls du stirbst. AuÃŸerdem wird der Standort auf deiner Karte angezeigt.",,"Si la colocas en el suelo, revives allÃ­ cada vez que mueras. AdemÃ¡s, se mostrarÃ¡ el lugar en el mapa.",
bedroll,blocks,Block,KgNone,Bedroll,Sac de couchage,Schlafsack,,Saco de dormir,ÅšpiwÃ³r
birdBathPlanter,blocks,Block,New,Bird Bath Planter,,,,,
boardedWindowsSheet4,blocks,Block,KgNone,Window Boards,Rebords de fenÃªtre,Fensterbretter,,Tapias,
bodyBagBlack,blocks,Block,New,Body Bag Black,,,,,
bodyBagPair,blocks,Block,New,Body Bag Pair,,,,,
bodyBagPairMixed,blocks,Block,New,Body Bag Mixed,,,,,
bodyBagPairYellow,blocks,Block,New,Body Bag Pair Yellow,,,,,
bodyBagPile,blocks,Block,New,Body Bag Pile,,,,,
bodyBagPileMix,blocks,Block,New,Body Bag Pile Mix,,,,,
bodyBagYellow,blocks,Block,New,Body Bag Yellow,,,,,
brickArch,blocks,Block,New,Brick Arch 2m,,,,,
brickArchCurveBase,blocks,Block,New,brick Arch Curve Base,,,,,
brickArchCurveFiller,blocks,Block,New,brick Arch Curve Filler,,,,,
brickArchCurveMiddle,blocks,Block,New,brick Arch Curve Middle,,,,,
brickArchCurveTop,blocks,Block,New,brick Arch Curve Top,,,,,
brickArchCurveTopMiddle,blocks,Block,New,brick Arch Curve Top Middle,,,,,
brickArchCurveTopMiddleTopper,blocks,Block,New,brick Arch Curve Top Middle Topper,,,,,
brickArchCurveWall,blocks,Block,New,brick Arch Curve Wall,,,,,
brickArchCurveWallCap,blocks,Block,New,brick Arch Curve Wall Cap,,,,,
brickBlock,blocks,Block,KgNone,Bricks,Briques,Ziegel,,Ladrillos,CegÅ‚y
brickBlockBaseboard1,blocks,Block,New,Brick Block Baseboard 1,,,,,
brickBlockBaseboard4,blocks,Block,New,Brick Block Baseboard 4,,,,,
brickBlockBaseboardChairRail1,blocks,Block,New,Brick Block Baseboard Chair Rail 1,,,,,
brickBlockBaseboardChairRail4,blocks,Block,New,Brick Block Baseboard Chair Rail 4,,,,,
brickBlockTileBroken01,blocks,Block,New,"Brick Block, Broken Tile",,,,,
brickCNRFull,blocks,Block,KgNone,Brick Full Corner,Angle complet en brique,Ziegel â€“ Komplette Ecke,,Esquina de ladrillo,
brickCNRInside,blocks,Block,KgNone,Brick Inside Corner,Angle intÃ©rieur en brique,Ziegel â€“ Innenecke,,Esquina interior de ladrillo,
brickCNRRamp,blocks,Block,KgNone,Brick Ramp Corner,Angle de rampe en brique,Ziegel â€“ Rampenecke,,Esquina de rampa de ladrillo,
brickCNRRampFiller,blocks,Block,New,Brick Ramp Corner Filler,,Ziegel â€“ Rampenecke FÃ¼ller,,,
brickCNRRound,blocks,Block,KgNone,Brick Corner Round,Angle arrondi en brique,Ziegel â€“ Abgerundete Ecke,,Esquina redonda de ladrillo,
brickCNRRoundTop,blocks,Block,New,Brick Corner Round Top,,,,,
brickCornerstone,blocks,Block,New,Brick Cornerstone,,,,,
brickCTRpole,blocks,Block,New,brick Pole Centered,,,,,
brickCTRQuarter,blocks,Block,New,Brick 1/4 Block Centered,,,,,
brickDestroyedBlock01,blocks,Block,KeyChanged,Brick Destroyed Block 01,Bloc de briques dÃ©labrÃ©es 1,"Zerbrochener, verwitterter Ziegel 1 â€“ Block",,Bloque grieta de ladrillo deteriorado 1,
brickDestroyedBlock02,blocks,Block,KeyChanged,Brick Destroyed Block 02,Bloc de briques dÃ©labrÃ©es 2,"Zerbrochener, verwitterter Ziegel 2 â€“ Block",,Bloque grieta de ladrillo deteriorado 2,
brickDestroyedBlock03,blocks,Block,KeyChanged,Brick Destroyed Block 03,Bloc de briques dÃ©labrÃ©es 3,"Zerbrochener, verwitterter Ziegel 3 â€“ Block",,Bloque grieta de ladrillo deteriorado 3,
brickGable,blocks,Block,New,brick Gable,,,,,
brickGable1m,blocks,Block,New,Brick Gable 1m,,,,,
brickGableInvertedHalf,blocks,Block,New,Brick Gable Inverted Half,,,,,
brickGableInvertedQuarter,blocks,Block,New,Brick Gable Inverted Quarter,,,,,
brickGableInvertedSteep,blocks,Block,New,Brick Gable Inverted Steep,,,,,
brickGableQuarter,blocks,Block,New,Brick Gable Quarter,,,,,
brickGroupDesc,blocks,Block,KgNone,Brick walls offer decent protection and can be upgraded to concrete later.,Les murs en brique vous offrent une bonne protection et peuvent ensuite Ãªtre amÃ©liorÃ©s en bÃ©ton.,Ziegelmauern bieten ganz guten Schutz und kÃ¶nnen spÃ¤ter zu Beton aufgewertet werden.,,Las paredes de ladrillo ofrecen una buena protecciÃ³n y se pueden mejorar a hormigÃ³n.,
brickHalf,blocks,Block,New,brick 1/2 Block,,,,,
brickHalfCentered,blocks,Block,New,Brick 1/2 Block CTR,,,,,
brickHalfCNRInside2,blocks,Block,New,Brick 1/2 Block Corner Inside 2,,,,,
brickHalfRampStairs50,blocks,Block,New,Brick 1/2 Ramp,,,,,
brickHalfRampStairs50Filler,blocks,Block,New,Brick 1/2 Ramp Filler,,,,,
brickPlate,blocks,Block,KgNone,Brick Plate,Plaque en brique,Ziegel â€“ Platte,,Placa de ladrillo,
brickPlateOffset,blocks,Block,New,Brick Plate Offset,,,,,
brickPoleSCTR,blocks,Block,New,Brick Pole SCTR,,,,,
brickPyramid1m,blocks,Block,New,Brick Pyramid 1m,,,,,
brickQuarterCNR,blocks,Block,New,Brick 1/4 Corner,,,,,
brickQuarterCNR3Way,blocks,Block,New,Brick 1/4 Corner 3Way,,,,,
brickQuarterSCtr,blocks,Block,New,Brick 1/4 SCtr,,,,,
brickQuarterTeeSCtr,blocks,Block,New,Brick 1/4 T SCtr,,,,,
brickRamp,blocks,Block,KgNone,Brick Ramp,Rampe en brique,Ziegelrampe,,Rampa de ladrillo,
brickStairs25,blocks,Block,New,brick Stairs 25,,,,,
brickStairs25CornerCNR,blocks,Block,New,Brick Stairs Corner,,Ziegel Stufenecke,,,
brickStairsFilledRailingLeft,blocks,Block,New,"Brick Stairs, Railing Left",,,,,
brickStairsFilledRailingRight,blocks,Block,New,"Brick Stairs, Railing Right",,,,,
