Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
badZombieUMA,entityclasses,Entity,New,Zombie,,,,,
badZombieMaleUMA,entityclasses,Entity,New,Zombie,,,,,
badZombieAiden,entityclasses,Entity,New,Zombie Aiden,,,,,
badZombieBob,entityclasses,Entity,New,Zombie Bob,,,,,
badZombieCaitlin,entityclasses,Entity,New,Zombie Caitlin,,,,,
badZombieCallie,entityclasses,Entity,New,Zombie Callie,,,,,
badZombieChang,entityclasses,Entity,New,Zombie Chang,,,,,
badZombieCharlotte,entityclasses,Entity,New,Zombie Charlotte,,,,,
badZombieClint,entityclasses,Entity,New,Zombie Clint,,,,,
badZombieEmma,entityclasses,Entity,New,Zombie Emma,,,,,
badZombieGabrielle,entityclasses,Entity,New,Zombie Gabrielle,,,,,
badZombieGrace,entityclasses,Entity,New,Zombie Grace,,,,,
badZombieHank,entityclasses,Entity,New,Zombie Hank,,,,,
badZombieHelen,entityclasses,Entity,New,Zombie Helen,,,,,
badZombieHugh,entityclasses,Entity,New,Zombie Hugh,,,,,
badZombieJack,entityclasses,Entity,New,Zombie Jack,,,,,
badZombieJeff,entityclasses,Entity,New,Zombie Jeff,,,,,
badZombieJimmy,entityclasses,Entity,New,Zombie Jimmy,,,,,
badZombieJoel,entityclasses,Entity,New,Zombie Joel,,,,,
badZombieMaria,entityclasses,Entity,New,Zombie Maria,,,,,
badZombieMercura,entityclasses,Entity,New,Zombie Mercura,,,,,
badZombieMiguel,entityclasses,Entity,New,Zombie Miguel,,,,,
badZombieOfficeGirl,entityclasses,Entity,New,Zombie Office Girl,,,,,
badZombieRayah,entityclasses,Entity,New,Zombie Rayah,,,,,
badZombieRekt,entityclasses,Entity,New,Zombie Rekt,,,,,
badZombieVince,entityclasses,Entity,New,Zombie Vince,,,,,
badZombieWillie,entityclasses,Entity,New,Zombie Willie,,,,,
badZombieBaby,entityclasses,Entity,New,Zombie Baby,,,,,
badZombieBabyCrawler,entityclasses,Entity,New,Zombie Baby Crawler,,,,,
valZombieClarice,entityclasses,Entity,New,Zombie Clarice,,,,,
valZombieJane,entityclasses,Entity,New,Zombie Jane,,,,,
valZombieLibrarian,entityclasses,Entity,New,Zombie Librarian,,,,,
valZombieSurvivorFemale,entityclasses,Entity,New,Zombie Sherlene,,,,,
valZombieVoodooFemale,entityclasses,Entity,New,Zombie Voodoo Lady,,,,,
valZombieVoodooMale,entityclasses,Entity,New,Zombie Voodoo Man,,,,,
valZombieDan,entityclasses,Entity,New,Zombie Dan,,,,,
valZombieSurvivorMale,entityclasses,Entity,New,Zombie Survivor,,,,,
valZombieKenny,entityclasses,Entity,New,Zombie Kenny,,,,,
valZombieRavager,entityclasses,Entity,New,Zombie Ravager,,,,,
valZombieNerd,entityclasses,Entity,New,Zombie Nerd,,,,,
valZombieInmate,entityclasses,Entity,New,Zombie Inmate,,,,,
valZombieInmateBlack,entityclasses,Entity,New,Zombie Inmate,,,,,
valZombieChildFemale,entityclasses,Entity,New,Zombie Little Girl,,,,,
valZombieChildMale,entityclasses,Entity,New,Zombie Little Boy,,,,,
valZombieRanger,entityclasses,Entity,New,Zombie Ranger,,,,,
valZombieScorchedRusher,entityclasses,Entity,New,Zombie Scorched Rusher,,,,,
gupZombieMartha,entityclasses,Entity,New,Zombie Martha,,,,,
gupZombieSally,entityclasses,Entity,New,Zombie Sally,,,,,
gupZombieSunStroked,entityclasses,Entity,New,Zombie Sun Stroked,,,,,
gupZombieSunStrokedCrawler,entityclasses,Entity,New,Zombie Sun Stroked Crawler,,,,,
sanZombiePunk,entityclasses,Entity,New,Zombie Punk,,,,,
sanZombieRioter,entityclasses,Entity,New,Zombie Rioter,,,,,
sanZombieRocker,entityclasses,Entity,New,Zombie Rocker,,,,,
sanZombieFemaleRocker,entityclasses,Entity,New,Zombie Rocker,,,,,
sanZombieHermit,entityclasses,Entity,New,Zombie Hermit,,,,,
sanZombieFrank,entityclasses,Entity,New,Zombie Frank,,,,,
sanZombieBikerChick,entityclasses,Entity,New,Zombie Biker Babe,,,,,
sanZombieInfectedSurvivor,entityclasses,Entity,New,Infected Survivor,,,,,
sanZombieInfectedLady,entityclasses,Entity,New,Infected Lady,,,,,
sanZombieNude,entityclasses,Entity,New,Nude Zombie,,,,,
sanZombiePrisoner,entityclasses,Entity,New,Zombie Prisoner,,,,,
sanZombieDriver,entityclasses,Entity,New,Zombie Driver,,,,,
sanZombieFiend,entityclasses,Entity,New,Zombie Feind,,,,,
sanZombieBanditSharpshooter,entityclasses,Entity,New,Zombie Sharpshooter,,,,,
sanZombieHunterSven,entityclasses,Entity,New,Zombie Sven,,,,,
sanZombiePsycho,entityclasses,Entity,New,Zombie Psycho,,,,,
sanZombieKim,entityclasses,Entity,New,Zombie Kim,,,,,
sanZombieVagrant,entityclasses,Entity,New,Zombie Vagrant,,,,,
sanZombieCripple,entityclasses,Entity,New,Zombie Cripple,,,,,
sanZombieBanditSavage,entityclasses,Entity,New,Zombie Savage,,,,,
sanZombieBanditSentry,entityclasses,Entity,New,Zombie Sentry,,,,,
sanZombieMitchHazmat,entityclasses,Entity,New,Zombie Mitch,,,,,
sanZombieMarkHazmat,entityclasses,Entity,New,Zombie Mark,,,,,
sanZombieClaireHazmat,entityclasses,Entity,New,Zombie Claire,,,,,
sanZombieSueHazmat,entityclasses,Entity,New,Zombie Sue,,,,,
sanZombieOldLady,entityclasses,Entity,New,Zombie Old Lady,,,,,
sanZombieOldMan,entityclasses,Entity,New,Zombie Old Man,,,,,
sanZombieEvilGranny,entityclasses,Entity,New,Zombie Granny,,,,,
sanZombieSecurityGuard,entityclasses,Entity,New,Zombie Security Guard,,,,,
sanZombieFrozen,entityclasses,Entity,New,Frozen Zombie,,,,,
badZombieJethro,entityclasses,Entity,New,Zombie Jethro,,,,,
badZombieSeryph,entityclasses,Entity,New,Zombie Seryph,,,,,
badZombieSeryphSnow,entityclasses,Entity,New,Zombie Seryph,,,,,
valZombieBigBitch,entityclasses,Entity,New,Zombie Bitch,,,,,
valZombieLumberjack,entityclasses,Entity,New,Zombie Lumberjack,,,,,
valZombieTrucker,entityclasses,Entity,New,Zombie Trucker,,,,,
valZombieCharred,entityclasses,Entity,New,Zombie Charred,,,,,
sanZombieCpl,entityclasses,Entity,New,Zombie Corporal,,,,,
sanZombieHunter,entityclasses,Entity,New,Zombie Hunter,,,,,
sanZombieBanditKiller,entityclasses,Entity,New,Zombie Bandit,,,,,
sanZombieBloodmoon,entityclasses,Entity,New,Zombie Moon,,,,,
sanZombieCannibalFemale,entityclasses,Entity,New,Cannibal,,,,,
sanZombieCannibalMale,entityclasses,Entity,New,Cannibal,,,,,
sanZombieFreak,entityclasses,Entity,New,Zombie Freak,,,,,
badZombieBolivar,entityclasses,Entity,New,Zombie Bolivar,,,,,
badZombieCur,entityclasses,Entity,New,Zombie Cur,,,,,
badZombieSWATMale,entityclasses,Entity,New,SWAT Zombie,,,,,
badZombieSWATFemale,entityclasses,Entity,New,SWAT Zombie,,,,,
badZombieTallman,entityclasses,Entity,New,Zombie Tallman,,,,,
valZombieRaveReaper,entityclasses,Entity,New,Zombie Rave,,,,,
badZombieStripperMole,entityclasses,Entity,New,Zombie Stripper Mole,,,,,
valZombieRegen,entityclasses,Entity,New,Zombie Regen,,,,,
gupZombieBouncer,entityclasses,Entity,New,Zombie Bouncer,,,,,
gupZombieBouncerCrawler,entityclasses,Entity,New,Zombie Bouncer Crawler,,,,,
gupZombieSnowQueen,entityclasses,Entity,New,Zombie Snow Queen,,,,,
sanZombieTrailerPark,entityclasses,Entity,New,Zombie Redneck,,,,,
sanZombieBanditRaider,entityclasses,Entity,New,Zombie Bandit,,,,,
sanZombieReaper,entityclasses,Entity,New,Zombie Reaper,,,,,
sanZombieBanditLooter,entityclasses,Entity,New,Zombie Bandit,,,,,
sanZombieCrazed,entityclasses,Entity,New,Zombie Crazed,,,,,
bkSanta,entityclasses,Entity,New,Zombie Santa,,,,,
sanZombieBodyBuilder,entityclasses,Entity,New,Zombie Body Builder,,,,,
sanZombieBanditJuggernaut,entityclasses,Entity,New,Zombie Juggernaut,,,,,
badZombieMord,entityclasses,Entity,New,Zombie Mord,,,,,
sanZombieExperiment,entityclasses,Entity,New,Zombie Experimental,,,,,
badZombieBabyBoomer,entityclasses,Entity,New,Zombie Baby Boomer,,,,,
valZombieRavagerSpider,entityclasses,Entity,New,Spider Ravager,,,,,
gupZombieClimber,entityclasses,Entity,New,Zombie Climber,,,,,
sanZombieClown,entityclasses,Entity,New,Zombie Clown,,,,,
badZombieWarlord,entityclasses,Entity,New,Zombie Warlord,,,,,
badZombieSuicideMole,entityclasses,Entity,New,Suicide Mole,,,,,
gupZombieBiff,entityclasses,Entity,New,Zombie Biff,,,,,
